Instancia,Otimo,Tag otimo,Solucao (HC),Tempo (HC)(s),Gap (HC),Solucao (VND),Tempo (VND)(s),Gap (VND),Solucao (GRASP),Tempo (GRASP)(s),Gap (GRASP),Solucao Media (GRASP)
n3m10A.txt,7483,opt,23940,0.0007538795471191406,219.93,7483,0.03448820114135742,0.0,7483,0.2595212459564209,0.0,8537.0
n3m10B.txt,1277,opt,5559,0.0012822151184082031,335.32,1277,0.02997899055480957,0.0,1277,0.15100598335266113,0.0,1504.2
n3m10C.txt,2088,opt,10301,0.0012831687927246094,393.34,2150,0.04519295692443848,2.97,2088,0.1869673728942871,0.0,2137.6
n3m10D.txt,322,opt,5124,0.0012400150299072266,1491.3,322,0.04054379463195801,0.0,322,0.15246009826660156,0.0,322.0
n3m10E.txt,3343,opt,6920,0.0012750625610351562,107.0,3452,0.030446529388427734,3.26,3343,0.16725826263427734,0.0,3434.6
n3m20A.txt,8280,LB,88820,0.0020062923431396484,972.71,38393,0.5878028869628906,363.68,33827,3.1646578311920166,308.54,38026.2
n3m20B.txt,1820,LB,66010,0.001973867416381836,3526.92,23354,0.30989646911621094,1183.19,19014,2.7554070949554443,944.73,20665.6
n3m20C.txt,855,LB,33006,0.00228118896484375,3760.35,8293,0.2802870273590088,869.94,6462,2.809814453125,655.79,8375.8
n3m20D.txt,4357,opt,16477,0.0021250247955322266,278.17,4785,0.33655285835266113,9.82,4465,2.6199240684509277,2.48,4652.0
n3m20E.txt,3798,opt,33326,0.0019001960754394531,777.46,3827,0.32570528984069824,0.76,3798,3.794095754623413,0.0,4275.2
n3m40A.txt,112,LB,300549,0.003648042678833008,268247.32,59723,7.594544887542725,53224.11,47937,51.84746956825256,42700.89,53769.4
n3m40B.txt,880,LB,190776,0.0033512115478515625,21579.09,45167,7.8919360637664795,5032.61,33137,57.14442229270935,3665.57,37315.4
n3m40C.txt,1962,LB,287714,0.0035247802734375,14564.32,55750,7.781380891799927,2741.49,52996,52.11176776885986,2601.12,65545.4
n3m40D.txt,263,LB,74363,0.0032639503479003906,28174.9,16058,5.542880058288574,6005.7,15382,54.114187479019165,5748.67,16582.0
n3m40E.txt,1192,LB,50722,0.003964662551879883,4155.2,19824,4.105074167251587,1563.09,18307,46.543636083602905,1435.82,19737.6
n5m50A.txt,0,LB,363794,0.004068136215209961,-1.0,89595,25.746798992156982,-1.0,73697,128.32835388183594,-1.0,82991.0
n5m50B.txt,0,LB,289454,0.004328250885009766,-1.0,36014,20.633273601531982,-1.0,33268,134.17419481277466,-1.0,38314.8
n5m50C.txt,0,LB,90412,0.004334211349487305,-1.0,18797,15.53900933265686,-1.0,18090,132.2381272315979,-1.0,22043.2
n5m50D.txt,0,LB,66633,0.004521608352661133,-1.0,19291,12.374685287475586,-1.0,18635,111.0559606552124,-1.0,19430.2
n5m50E.txt,0,LB,49347,0.004381418228149414,-1.0,10487,8.992380857467651,-1.0,7423,119.44696712493896,-1.0,10065.2
