Instancia,Otimo,Tag otimo,Solucao (HC),Tempo (HC),Gap (HC),Solucao (VND),Tempo (VND),Gap (VND),Solucao (GRASP),Tempo (GRASP),Gap (GRASP)
n3m10A.txt,7483,opt,23940,0.0013 segundos,219.93,7483,0.0375 segundos,0.0,7483,0.4224 segundos,0.0
n3m10B.txt,1277,opt,5559,0.0167 segundos,335.32,1277,0.0321 segundos,0.0,1277,0.2786 segundos,0.0
n3m10C.txt,2088,opt,10301,0.0103 segundos,393.34,2150,0.0445 segundos,2.97,2088,0.3064 segundos,0.0
n3m10D.txt,322,opt,5124,0.0099 segundos,1491.3,322,0.0439 segundos,0.0,322,0.4100 segundos,0.0
n3m10E.txt,3343,opt,6920,0.0124 segundos,107.0,3452,0.0326 segundos,3.26,3343,0.1886 segundos,0.0
n3m20A.txt,8280,LB,88820,0.0021 segundos,972.71,38393,0.6243 segundos,363.68,31357,6.4432 segundos,278.71
n3m20B.txt,1820,LB,66010,0.0109 segundos,3526.92,23354,0.2998 segundos,1183.19,17832,4.2678 segundos,879.78
n3m20C.txt,855,LB,33006,0.0017 segundos,3760.35,8293,0.2807 segundos,869.94,6675,5.1777 segundos,680.7
n3m20D.txt,4357,opt,16477,0.0173 segundos,278.17,4785,0.3063 segundos,9.82,4465,2.8402 segundos,2.48
n3m20E.txt,3798,opt,33326,0.0180 segundos,777.46,3827,0.3171 segundos,0.76,3798,4.9692 segundos,0.0
n3m40A.txt,112,LB,300549,0.0220 segundos,268247.32,59723,7.3467 segundos,53224.11,50697,112.6100 segundos,45165.18
n3m40B.txt,880,LB,190776,0.0107 segundos,21579.09,45167,7.3742 segundos,5032.61,31316,94.7494 segundos,3458.64
n3m40C.txt,1962,LB,287714,0.0102 segundos,14564.32,55750,7.4462 segundos,2741.49,47244,73.2925 segundos,2307.95
n3m40D.txt,263,LB,74363,0.0104 segundos,28174.9,16058,5.3353 segundos,6005.7,14281,76.0464 segundos,5330.04
n3m40E.txt,1192,LB,50722,0.0109 segundos,4155.2,19824,3.9779 segundos,1563.09,18822,71.3290 segundos,1479.03
n5m50A.txt,0,LB,363794,0.0112 segundos,-1.0,89595,25.4836 segundos,-1.0,73829,230.9366 segundos,-1.0
n5m50B.txt,0,LB,289454,0.0120 segundos,-1.0,36014,19.6058 segundos,-1.0,31006,242.6631 segundos,-1.0
n5m50C.txt,0,LB,90412,0.0011 segundos,-1.0,18797,15.1074 segundos,-1.0,15979,198.4734 segundos,-1.0
n5m50D.txt,0,LB,66633,0.0011 segundos,-1.0,19291,12.0590 segundos,-1.0,16368,197.3871 segundos,-1.0
n5m50E.txt,0,LB,49347,0.0014 segundos,-1.0,10487,8.9903 segundos,-1.0,6620,176.7074 segundos,-1.0
